shelter,data_set,lat,lon,type
Cow Camp Shelter,TNL,37.745040,-79.212690,Shelter
Wawayanda,ATC,41.202216,-74.398137,Log/Lumber
Cooper Brook Falls Lean-to,TNL,45.640500,-69.087400,Lean-to
Peru Peak,ATC,43.301214,-72.952822,Log/Lumber
RPH,ATC,41.514503,-73.792808,Other
Roan High Knob Shelter,TNL,36.105060,-82.122220,Shelter
Old Orchard,ATC,36.683193,-81.511183,Log
Bascom Lodge,TNL,42.636860,-73.167360,Unknown
Stan Murray Shelter,TNL,36.112360,-82.065710,Shelter
Greenwall,ATC,43.440610,-72.929960,Other
Rutherford,ATC,41.277461,-74.678222,Log
Rocky Run Shelter,TNL,39.460950,-77.630870,Shelter
Stewart Hollow Brook Lean-to,TNL,41.779280,-73.418510,Lean-to
Hermit Lake Shelter (2 of 2),TNL,44.261300,-71.285880,Shelter
Velvet Rocks,ATC,43.702583,-72.265210,Timber_Frame
Cold Spring,ATC,35.230985,-83.560078,Log
Long Branch Shelter,TNL,35.069971,-83.498158,Shelter
Rattle River Shelter,TNL,44.379900,-71.107430,Shelter
Cloud Pond Lean-to,TNL,45.418040,-69.353220,Lean-to
Standing Indian Shelter,TNL,35.041970,-83.548060,Shelter
Pinefield Hut,TNL,38.290570,-78.645760,Hut
Pickle Branch Shelter,TNL,37.380160,-80.184600,Shelter
Thistle Hill Shelter,TNL,43.695180,-72.475320,Shelter
Jim & Molly Denton,ATC,38.890030,-78.083350,Stick_w/T1_siding
Leroy A. Smith Shelter,TNL,40.839400,-75.359390,Shelter
Tom Leonard Lean-to,TNL,42.164790,-73.305800,Lean-to
Morgan Stewart,ATC,41.564539,-73.692166,Log/Lumber
Moose Mountain,ATC,43.727215,-72.149779,Log
Deer Park Mountain Shelter,TNL,35.875950,-82.861250,Shelter
Cherry Gap Shelter,TNL,36.129240,-82.264120,Shelter
Pleasant Pond Lean-to,TNL,45.271190,-69.916750,Lean-to
Mashipacong Shelter,TNL,41.252160,-74.685940,Shelter
A. Rufus Morgan Shelter,TNL,35.324270,-83.590180,Shelter
Greenleaf Hut,TNL,44.160240,-71.660240,Hut
Brown Fork Gap Shelter,TNL,35.374270,-83.733920,Shelter
Clyde Smith,ATC,36.148478,-82.161305,Stick_w/ply_siding
Double Spring Gap Shelter,TNL,35.565270,-83.542740,Shelter
Kirkridge Shelter,TNL,40.936720,-75.186400,Shelter
Byrds Nest 3,TNL,38.634410,-78.323760,Unknown
Imp Campsite Shelter,TNL,44.328860,-71.150040,Shelter
Eliza Brook Campsite Shelter,TNL,44.100740,-71.741820,Shelter
Winturri,ATC,43.662210,-72.622433,Other
Ore Hill camp,TNL,43.921830,-71.957440,Unknown
Rutherford Shelter,TNL,41.277460,-74.677810,Shelter
David Lesser Memorial,ATC,39.227199,-77.779398,Log/Lumber
William B. Douglas,ATC,43.144573,-72.991390,Log/Lumber
Dicks Dome Shelter,TNL,38.969700,-77.997210,Shelter
Rausch Gap Shelter,TNL,40.498650,-76.600120,Shelter
Deep Gap,ATC,34.882370,-83.646010,Unknown
George W. Outerbridge,ATC,40.782490,-75.618317,Log
Lost Mountain Shelter,TNL,36.644190,-81.655920,Shelter
Bald Mountain Brook Lean-to,TNL,45.258540,-69.799470,Lean-to
Partnership Shelter,TNL,36.809530,-81.422370,Shelter
Groundhog Creek Shelter,TNL,35.781840,-83.026320,Shelter
Pico Camp,ATC,43.638930,-72.831500,Unknown
Rattle River,ATC,44.380024,-71.108102,Stick_w/Lumber_sidng
Happy Hill,ATC,43.724072,-72.365667,Stone/Log
Saunders Shelter,TNL,36.637760,-81.713470,Shelter
The Birches Shelters,TNL,45.886750,-68.999050,Shelter
Niday,ATC,37.387645,-80.264229,Log w/siding
Brassie Brook,ATC,42.028364,-73.453817,Log
Windsor Furnace Shelter,TNL,40.590550,-75.941230,Shelter
Wildcat,ATC,41.268265,-74.268198,Stick_w/Lumber_sidng
Moose Mountain Shelter,TNL,43.727180,-72.149260,Shelter
