SID,name,data_set,lat,lon,shelter_type
1,Cow Camp Shelter,TNL,37.74504,-79.21269,Shelter
2,Wawayanda,ATC,41.202216,-74.398137,Log/Lumber
3,Cooper Brook Falls Lean-to,TNL,45.6405,-69.0874,Lean-to
4,Peru Peak,ATC,43.301214,-72.952822,Log/Lumber
5,RPH,ATC,41.514503,-73.792808,Other
6,Roan High Knob Shelter,TNL,36.10506,-82.12222,Shelter
7,Old Orchard,ATC,36.683193,-81.511183,Log
8,Bascom Lodge,TNL,42.63686,-73.16736,Unknown
9,Stan Murray Shelter,TNL,36.11236,-82.06571,Shelter
10,Greenwall,ATC,43.44061,-72.92996,Other
11,Rutherford,ATC,41.277461,-74.678222,Log
12,Rocky Run Shelter,TNL,39.46095,-77.63087,Shelter
13,Stewart Hollow Brook Lean-to,TNL,41.77928,-73.41851,Lean-to
14,Hermit Lake Shelter (2 of 2),TNL,44.2613,-71.28588,Shelter
15,Velvet Rocks,ATC,43.702583,-72.26521,Timber_Frame
16,Cold Spring,ATC,35.230985,-83.560078,Log
17,Long Branch Shelter,TNL,35.069971,-83.498158,Shelter
18,Rattle River Shelter,TNL,44.3799,-71.10743,Shelter
19,Cloud Pond Lean-to,TNL,45.41804,-69.35322,Lean-to
20,Standing Indian Shelter,TNL,35.04197,-83.54806,Shelter
21,Pinefield Hut,TNL,38.29057,-78.64576,Hut
22,Pickle Branch Shelter,TNL,37.38016,-80.1846,Shelter
23,Thistle Hill Shelter,TNL,43.69518,-72.47532,Shelter
24,Jim & Molly Denton,ATC,38.89003,-78.08335,Stick_w/T1_siding
25,Leroy A. Smith Shelter,TNL,40.8394,-75.35939,Shelter
26,Tom Leonard Lean-to,TNL,42.16479,-73.3058,Lean-to
27,Morgan Stewart,ATC,41.564539,-73.692166,Log/Lumber
28,Moose Mountain,ATC,43.727215,-72.149779,Log
29,Deer Park Mountain Shelter,TNL,35.87595,-82.86125,Shelter
30,Cherry Gap Shelter,TNL,36.12924,-82.26412,Shelter
31,Pleasant Pond Lean-to,TNL,45.27119,-69.91675,Lean-to
32,Mashipacong Shelter,TNL,41.25216,-74.68594,Shelter
33,A. Rufus Morgan Shelter,TNL,35.32427,-83.59018,Shelter
34,Greenleaf Hut,TNL,44.16024,-71.66024,Hut
35,Brown Fork Gap Shelter,TNL,35.37427,-83.73392,Shelter
36,Clyde Smith,ATC,36.148478,-82.161305,Stick_w/ply_siding
37,Double Spring Gap Shelter,TNL,35.56527,-83.54274,Shelter
38,Kirkridge Shelter,TNL,40.93672,-75.1864,Shelter
39,Byrds Nest 3,TNL,38.63441,-78.32376,Unknown
40,Imp Campsite Shelter,TNL,44.32886,-71.15004,Shelter
41,Eliza Brook Campsite Shelter,TNL,44.10074,-71.74182,Shelter
42,Winturri,ATC,43.66221,-72.622433,Other
43,Ore Hill camp,TNL,43.92183,-71.95744,Unknown
44,David Lesser Memorial,ATC,39.227199,-77.779398,Log/Lumber
45,William B. Douglas,ATC,43.144573,-72.99139,Log/Lumber
46,Dicks Dome Shelter,TNL,38.9697,-77.99721,Shelter
47,Rausch Gap Shelter,TNL,40.49865,-76.60012,Shelter
48,Deep Gap,ATC,34.88237,-83.64601,Unknown
49,George W. Outerbridge,ATC,40.78249,-75.618317,Log
50,Lost Mountain Shelter,TNL,36.64419,-81.65592,Shelter
51,Bald Mountain Brook Lean-to,TNL,45.25854,-69.79947,Lean-to
52,Partnership Shelter,TNL,36.80953,-81.42237,Shelter
53,Groundhog Creek Shelter,TNL,35.78184,-83.02632,Shelter
54,Pico Camp,ATC,43.63893,-72.8315,Unknown
55,Happy Hill,ATC,43.724072,-72.365667,Stone/Log
56,Saunders Shelter,TNL,36.63776,-81.71347,Shelter
57,The Birches Shelters,TNL,45.88675,-68.99905,Shelter
58,Niday,ATC,37.387645,-80.264229,Log w/siding
59,Brassie Brook,ATC,42.028364,-73.453817,Log
60,Windsor Furnace Shelter,TNL,40.59055,-75.94123,Shelter
61,Wildcat,ATC,41.268265,-74.268198,Stick_w/Lumber_sidng
62,Springer Mountain Shelter,TNL,34.62946,-84.19268,Shelter
63,John's Spring,ATC,37.385334,-80.074124,Stick_w/Lumber_sidng
64,War Spur,ATC,37.397569,-80.474025,Stick_w/Lumber_sidng
65,Rock Spring Hut,TNL,38.55353,-78.4083,Hut
66,Cooper Lodge,TNL,43.60606,-72.82249,Unknown
67,Iron Mountain Shelter,TNL,36.4354,-81.99095,Shelter
68,Jenny Knob,ATC,37.15497,-80.98032,Stick_w/Lumber_siding
69,Wiley,ATC,41.637881,-73.532793,Log
70,Lamberts Meadow,ATC,37.434587,-79.987724,Stone/Log
71,Seth Warner,ATC,42.772159,-73.137283,Stick_w/Lumber_sidng
72,Chestnut Knob,ATC,37.057686,-81.399556,Stone
73,Thomas Knob,ATC,36.656521,-81.53542,Log/Lumber
74,Hurd Brook Lean-to,TNL,45.81852,-69.01847,Lean-to
75,Cornelius Creek Shelter,TNL,37.49401,-79.54703,Shelter
76,Wilson Creek,ATC,37.419368,-79.785831,Stick_w/Lumber_siding
77,Caughnawaga Shelter,TNL,43.01497,-73.04363,Shelter
78,Gooch Mountain,ATC,34.65553,-84.05003,Stick_w/T1_siding
79,Cosby Knob Shelter,TNL,35.72828,-83.1822,Shelter
80,Pecks Corner Shelter,TNL,35.65083,-83.30848,Shelter
81,Hawk Mountain,ATC,34.66591,-84.136402,Post_&_Beam
82,Mount Wilcox South Lean-to,ATC,42.207727,-73.268756,Timber_Frame
83,Clarendon Shelter,TNL,43.52354,-72.91257,Shelter
84,Blood Mountain Shelter,TNL,34.74003,-83.93743,Shelter
85,Jeffers Brook Shelter,TNL,43.99668,-71.88895,Shelter
86,Bake Oven Knob,ATC,40.754111,-75.727429,Log
87,Telephone Pioneers Shelter,TNL,41.60382,-73.6188,Shelter
88,Horseshoe Canyon Lean-to,TNL,45.28274,-69.62759,Lean-to
89,Mountaineer Falls Shelter,TNL,36.2202,-81.9857,Shelter
90,Ten Mile River Lean-to,TNL,41.66516,-73.50922,Lean-to
91,Pochuck Mountain Shelter,TNL,41.27126,-74.51492,Shelter
92,Blackrock Hut,TNL,38.21426,-78.74294,Hut
93,Garfield Ridge,ATC,44.190723,-71.608894,Log/Lumber
94,Lost Pond Shelter,TNL,43.3476,-72.95257,Shelter
95,Walnut Mountain,ATC,35.836408,-82.93663,Log
96,East Branch Lean-to,TNL,45.59676,-69.19816,Lean-to
97,Curly Maple Gap,ATC,36.104229,-82.397012,Cinder_Block
98,Mollies Ridge Shelter,TNL,35.54588,-83.7935,Shelter
99,Bearfence Mountain Hut,TNL,38.44409,-78.47041,Hut
100,Sarver Hollow,ATC,37.35462,-80.33762,Stick_w/Lumber_sidng
101,Partnership,ATC,36.809451,-81.422557,Log/Lumber
102,James Fry Shelter,TNL,40.06295,-77.20611,Shelter
